行业,热度得分,利好得分,利空得分
综合,58.66548287550639,58.66548287550639,0.0
生态保护和环境治理业,39.197307676684225,39.197307676684225,0.0
渔业,26.700000000000003,26.700000000000003,0.0
农业,19.4663549324825,19.4663549324825,0.0
研究和试验发展,18.4,18.4,0.0
专业技术服务业,18.4,18.4,0.0
煤炭开采和洗选业,16.900150112994854,17.6,0.6998498870051458
其他,16.1,16.1,0.0
橡胶和塑料制品业,11.176058978035408,11.176058978035408,0.0
酒、饮料和精制茶制造业,10.950056814288459,26.879007395165726,15.928950580877267
电力、热力、燃气及水生产和供应业,7.194991820863521,7.194991820863521,0.0
文教、工美、体育和娱乐用品制造业,6.734433262848417,6.734433262848417,0.0
医药制造业,6.245544110366951,23.668302097362748,17.422757986995798
物流,5.6000000000000005,5.6000000000000005,0.0
能源行业,3.7676858603959547,3.7676858603959547,0.0
航空航天、交通运输设备,3.4824461932732125,3.4824461932732125,0.0
航空航天、船舶和运输设备制造业,3.328387221873715,3.328387221873715,0.0
航空航天相关制造业,3.32770067113549,3.32770067113549,0.0
纺织业,0.7134804527218801,4.2,3.48651954727812
纺织服装、服饰业,-3.48651954727812,0.0,3.48651954727812
医美概念,-3.7814423344608983,0.0,3.7814423344608983
医疗美容,-4.558371932842003,0.0,4.558371932842003
畜牧业,-10.059015211071001,0.6000000000000001,10.659015211071
医疗,-10.599590345644497,0.0,10.599590345644497
食品制造业,-39.48093396026355,15.200481995753398,54.68141595601695
农副食品加工业,-49.98901349618752,4.692402459829431,54.68141595601695
其他制造业,,,
批发业,,,
零售业,,,
互联网和相关服务,,,18.41056672174604
软件和信息技术服务业,,,24.796067985521038
其他金融业,,,
货币金融服务,,,
公共设施管理业,,,3.810154019241075
道路运输业,,,
电力、热力生产和供应业,,,
房屋建筑业,,,
土木工程建筑业,,,
建筑装饰、装修和其他建筑业,,,
建筑安装业,,,
燃气生产和供应业,,,
水的生产和供应业,,,
交通运输业,,,
邮政业,,,
住宿业,,,0.0
餐饮业,,,0.0
电信、广播电视和卫星传输服务,,,0.0
资本市场服务,,,3.5
保险业,,,0.0
房地产业,,,
租赁业,,,0.0
商务服务业,,,0.0
教育,,,0.0
卫生,,,31.103234404953735
新闻和出版业,,,0.0
广播、电视、电影和录音制作业,,,0.0
文化艺术业,,,0.0
体育,,,0.0
计算机、通信和其他电子设备制造业,,,
铁路、船舶、航空航天和其他运输设备制造业,,,
铁路运输业,,,
航空运输业,,,
装卸搬运和仓储业,,,
化学原料和化学制品制造业,,,0.0
石油和天然气开采业,,,
农、林、牧、渔专业及辅助性活动,,,0.0
旅游概念,,,0.0
汽车制造业,,,
贵金属采选业,,0.0,
有色金属矿采选业,,,
贵金属冶炼和压延加工业,,,
非金属矿物制品业,,6.397307676794202,
金属制品业,,,
有色金属冶炼和压延加工业,,,
石油、煤炭及其他燃料加工业,,,
黑色金属冶炼和压延加工业,,,
通用设备制造业,,,
专用设备制造业,,,
电气机械和器材制造业,,,
仪器仪表制造业,,,
水上运输业,,,
多式联运和运输代理业,,,
金融业,,,0.0
服务行业,,,0.0
非金属矿采选业,,0.0,
